"DFr_8C6AF261.Text","[MALE: We were dating actually. She's a lilith. A siren. A gold-digger. An emotional manipulator who wanted to bleed me dry.]

[FEMALE: And why should I trust you? Are you going to steal something from me too? My pants? My shoes?]",""
"DFr_52B4ECB9.Text","[MALE: Yes, she manipulated me. She is dating me for my money. This is what I am trying to tell you.]



[FEMALE: Why don't you inform  as to why a female would take advantage of someone young and rich and aesthetically aligned like me and take what I earned.]",""
"DFr_9CB21AAE.Text","[MALE: Find her, please.]",""
"DFr_3DC12BB4.Text","Aesthetic is everything. The body is a machine to be tuned.",""
"DFr_CB5B1813.Text","What do you know about aesthetics? What is your stack?",""
"DFr_2221F0CA.Text","CJC-1295 no-DAC 100 mcg plus Ipamorelin 200 mcg, two to three times daily, with pre-bed dosing mandatory.",""
"DFr_855BA8F3.Text","I prioritise bone density and chin-sculpting procedures.",""
"DFr_D1853DD4.Text","It comes out totally wrong. You have no idea what you're talking about.",""
"DFr_FEE2E0C7.Text","How can I trust you if you don't know anything about *looks*?",""
"DFr_BFEF76E3.Text","The white girl. She took it from me! I thought she was a genetic potential. But now look at what she did to me.",""
"DFr_88E39C1F.Text","If by 'into her' you mean courting her for breeding and genetic pooling, then yes, I am into her.",""
"DFr_C097162E.Text","She is controlling me, man. Mind control. They're telepathic.",""
"DFr_1F163AA9.Text","So will you help me, or not?",""
"DFr_88F2F5CD.Text","I could look around, see if I spot anything. But at least pay me.",""
"DFr_48094C61.Text","You just walk away. Probably better for the both of you.",""
"DFr_FCF521E2.Text","He doesn't want to hear it from you. He's collapsed back into unconsciousness.",""
"DFr_84001881.Text","The jacket. Made of seal-skin, probably, stitched by the hands of monks in an atelier on some island temple.",""
"DFr_8C3C7336.Text","",""
"DFr_0E728CE6.Text","Maybe he's passed out for a reason.",""
"DFr_4E7E7E6C.Text","Fashion is a survival mechanism. Like the patterns on a butterfly's wings. We breed to survive.",""
"DFr_1F913132.Text","I see it in your bone structure. I'm impressed.",""
"DFr_317564BC.Text","With a bit of force, your foot lands in the spot between his ribs.",""
"DFr_4F33A192.Text","Really doesn't look good kicking a guy on the floor. You look like an idiot. Maybe don't do it again.",""
"DFr_D043EB83.Text","Pure death on his face. She took my fucking *jacket*.

홀.

He spits.",""
"Ntt_5B0FA899.DisplayName","Really Nice Jacket",""
"Ntt_5B0FA899.Text","It just looks so good on you.",""
"Ntt_A01779E8.DisplayName","Bartender",""
"Ntt_2BF24A0B.DisplayName","Bogdan",""
"Ntt_2BF24A0B.Text","Club bouncer. Romanian. Likes to philosophise and talk about the deep things in life.",""
"Ntt_D43E49FD.DisplayName","Cloak Room Lady",""
"Ntt_80B65D1E.DisplayName","Daesung",""
"Ntt_80B65D1E.Text","Oriental Influencer, Model, Coffee Shop Entrepreneur. Celebrity Streamer. His bank account is a black hole.

MAIN ATTRIBUTE: THE SHADOW",""
"Ntt_3C31581B.DisplayName","Driver",""
"Ntt_9BE3D143.DisplayName","Duska",""
"Ntt_9BE3D143.Text","Her name means ""twilight, soul""",""
"Ntt_67D9EA32.DisplayName","Eliska",""
"Ntt_67D9EA32.Text","Her name means ""pledged to god""",""
"Ntt_A010F8AC.DisplayName","Enlightened Raver",""
"Ntt_E2614CD6.DisplayName","Lone Smoker",""
"Ntt_6037E266.DisplayName","Masc Entity",""
"Ntt_3B8595F9.DisplayName","Raver",""
"Ntt_E420E086.DisplayName","Tomas",""
"Ntt_E420E086.Text","Buys clothes",""
"Ntt_6FB8090E.DisplayName","Mira",""
"Ntt_B4243D34.DisplayName","Iko",""
"Ntt_DE805C8C.DisplayName","Alina",""
"Ntt_DF3CF7C7.DisplayName","Angel",""
